feature,importance,fold
core_htfidf,39682.70453545451,11
core_itfidf,79203.61665207148,11
core_ktfidf,102622.31750616431,11
core_ltfidf,186443.83330139518,11
core_mtfidf,49291.14110392332,11
core_ntfidf,70238.61969181895,11
core_ptfidf,65462.48281261325,11
core_qtfidf,48337.058434188366,11
core_rtfidf,86571.35050559044,11
core_stfidf,64732.48073810339,11
core_ttfidf,77265.4773415327,11
core_vtfidf,68025.1485850811,11
core_wtfidf,43865.95953783393,11
core_ytfidf,53754.04743680358,11
core_a_count,3033.1468430757523,11
core_c_count,26.304200172424316,11
core_d_count,1198.274790108204,11
core_e_count,6353.696988582611,11
core_f_count,720.6111694574356,11
core_g_count,3531.439197897911,11
core_h_count,418.94409561157227,11
core_i_count,1613.8149693012238,11
core_k_count,2381.9279138445854,11
core_l_count,1877.8325964212418,11
core_m_count,100.32607889175415,11
core_n_count,908.2202795743942,11
